"Gene_ID","GSM6614483","GSM6614484","GSM6614485"
"ENSMUSG00000003863",9801,7159,8530
"ENSMUSG00000003865",675,635,699
"ENSMUSG00000003868",1172,1281,1119
"ENSMUSG00000003872",2660,1524,2026
"ENSMUSG00000003873",2430,2879,1967
"ENSMUSG00000003882",25,8,8
"ENSMUSG00000003923",1579,1536,1381
"ENSMUSG00000003929",1296,1026,1036
"ENSMUSG00000003934",8039,4637,6225
"ENSMUSG00000003948",18114,13947,13362
"ENSMUSG00000003949",3584,2114,7958
"ENSMUSG00000003955",1673,1838,1404
"ENSMUSG00000003970",17926,18809,15849
"ENSMUSG00000003974",2277,1001,1896
"ENSMUSG00000003992",2556,3227,2489
"ENSMUSG00000004018",322,296,288
"ENSMUSG00000004031",2692,3258,2635
"ENSMUSG00000004032",9737,3676,8431
"ENSMUSG00000004035",1323,374,853
"ENSMUSG00000004038",0,0,98
"ENSMUSG00000004040",1895,8412,1937
"ENSMUSG00000004043",113,212,74
"ENSMUSG00000004044",959,1412,1030
"ENSMUSG00000004054",1499,1320,1188
"ENSMUSG00000004056",2384,1907,2141
"ENSMUSG00000004069",2514,3241,2622
"ENSMUSG00000004070",2946,2876,2543
"ENSMUSG00000004071",9936,9980,9142
"ENSMUSG00000004085",274,328,333
"ENSMUSG00000004096",3017,2743,2864
"ENSMUSG00000004098",35,785,50
"ENSMUSG00000004099",1940,2224,1628
"ENSMUSG00000004100",519,870,438
"ENSMUSG00000004105",188,858,170
"ENSMUSG00000004110",11295,11772,8545
