mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
lys_L[c],2137,CHOLtg,,
apoC_Lys[c],2135,CHOLtn,,
apoC[m],2134,CHOLtr,,
lys_L[m],56606,CHOLtu,,
apoC_Lys[m],154091,CHSTEROLSULT,,
apoC_Lys_btn[c],11182,CHSTEROLt1,,
biocyt[c],144195,CHSTEROLt2,,
apoC_Lys_btn[m],6523,CHSTEROLt3,,
biocyt[m],178,CHSTEROLtg,,
appnn[e],5834,CHTNASE,,
appnn[c],5837,CHTNASEe,,
aprut[c],5836,CITMCOAHm,,
n4abutn[c],2729,CITMCOALm,,
aqcobal[e],2730,CITRtm,,
