mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
DNDPt28m,DESAT18_10,CLPNDt,CHOLATEt
DNDPt2m,DESAT18_3,CLS_hs,CHOLATEt2
DNDPt30m,DESAT18_11,CMPACNAtg,CHOLATEt3
DNDPt31m,DESAT18_5,CMPACNAtn,CHOLD2m
DNDPt32m,DESAT18_6,ACNMCT,CHOLK
DNDPt37m,DESAT18_12,CMPSASn,CHOLPtg
DNDPt38m,DESAT18_8,CO2ter,CHOLPtl
DNDPt39m,DESAT18_9,CO2tg,CHOLt4
DNDPt3m,DESAT20_1,CO2tm,CHOLtg
DNDPt40m,DESAT20_2,CO2tp,CHOLtn
DNDPt41m,DESAT22_1p,COAtg,CHOLtr
DNDPt42m,DESAT24_1,COAtl,CHOLtu
DNDPt43m,DGAT,COAtim,CHSTEROLSULT
DNDPt44m,DGCHOLtx,COAtp,CHSTEROLt1
DNDPt45m,DGK2m,COQ3m,CHSTEROLt3
DNDPt46m,DGNSKm,COQ5m,CHSTEROLtg
DNDPt47m,DGSNtm,COQ6m,CHTNASE
DNDPt48m,DGTPtn,COQ7m,CHTNASEe
DNDPt49m,DHAAt1r,CORE2GTg,CITRtm
DNDPt4m,DHCR241r,CORE3GTg,CITt4_2
DNDPt50m,DHCR242r,CORE4GTg,CITtbm
DNDPt51m,DHCR243r,CORE6GTg,CK_cho
DNDPt52m,DHCR71r,COt,CKc_cho
DNDPt53m,DHCR72r,CREATt4_2_r,CLFORtex
DNDPt54m,DHCRD1,CREATtmdiffir,CLHCO3tex2
DNDPt55m,DHCRD2,CRNCAR3tp,CLI2tex
DNDPt56m,DHDPBMTm,CRNCARtp,CLOHtex2_1
DNDPt57m,DHEASULT,CRNt,CLOXAtex2
DNDPt58m,DHEAtr,CRNtHa,CLPNDCPT1
DNDPt59m,DHFtl,CRNtim,CLPNDCPT2
DNDPt5m,DHFtm,CRNtuNa,CLPNDCRNt
DNDPt60m,DHORD9,CRTSLtr,CLS_hs
DNDPt61m,DHPM1,CSAPASEly,CMPACNAtg
DNDPt62m,DIDPtn,CSBPASEly,CMPACNAtn
DNDPt63m,DIGALSGALSIDEtg,CSCPASEly,ACNMCT
DNDPt6m,DIGALSIDEtl,CSDPASEly,CMPSASn
DNDPt7m,DINt,CSEPASEly,CO2ter
DOLGLCP_Lter,DITPtn,CSm,CO2tg
DOLGPP_Ler,D_LACt2,CSNAT2m,CO2tm
DOLMANP_Uter,D_LACtm,CSNAT2x,CO2tp
DOLPMT_U,DLNLCGCPT1,CSNAT3x,COAtg
DOLP_Uter,DLNLCGCPT2,CSNATer,COAtl
DOPABMO_1,DLNLCGCRNt,CSNATm,COAtim
DOPAMT,DM_Asn_X_Ser_Thr_l,CSNATp,COAtn
DOPAtu,DM_datp_m,CSNATr,COKECBESr
DOPAVESSEC_1,DM_dem2emgacpail_prot_hs_r,CSNt,COQ3m
DPGase,DM_dgpi_prot_hs_r,CSPG_At,COQ5m
DPGM,DM_dsT_antigen_g,CSPG_Atly,COQ6m
DPHMBDCm,DM_gpi_sig_r,CSPG_Bt,COQ7m
DPMVDx,DM_kdn_c,CSPG_Btly,CORE2GTg
DPPS,DM_mem2emgacpail_prot_hs_r,CSPG_Ct,CORE3GTg
DRPA,DM_Ser_Gly_Ala_X_Gly_l,CSPG_Ctly,CORE4GTg
DSAT,DMATTx,CSPG_Dt,CORE6GTg
DTDPtn,DMHPTCRNCPT2,CSPG_Dtly,COt
DUMPtn,DMHPTCRNt,CSPG_Et,COUCOAFm
DURAD,DMHPTCRNte,CSPG_Etly,COUMARINte
DURAD2,C110CPT2m,CTPtn,CREATtmdiffir
DURIK1,DMNONCRNt,CYANt,CRMPte
DURIK1m,DNDPt11m,CYSALANaEx,CRNCARtp
DUTPDPm,DNDPt12m,CYSASNNaEx,CRNt
DUTPDPn,DNDPt37m,CYSGLNNaEx,CRNtHa
EBP1r,DNDPt38m,CYSGLUexR,CRNtim
EBP2r,DNDPt60m,CYSGLYex,CRNtuNa
ECOAH1m,DOLGLCP_Lter,CYSO,CRNtx
ECOAH1x,DOLGPP_Ler,CYSSERNaEx,CRTSLtm
ECOAH9m,DOLICHOL_Lter,CYSt4,CRTSTRNtm
EHGLATm,DOLICHOL_Uter,CYSTA,CSAPASEly
EICOSTETCPT1,DOLK_U,CYStec,CSBPASEly
EICOSTETCPT2,DOLMANP_Uter,CYSTGLUex,CSCPASEly
EICOSTETCRNt,DOLPH_Ler,CYSTHRNaEx,CSDPASEly
ELAIDCPT2,DOLPH_Uer,CYTD,CSEPASEly
ELAIDCRNt,DOLPMT_U,CYTDK1,CSm
ENGASE2ly,DOLP_Uter,CYTDt,CSNAT2m
ENGASE3ly,DOPABMO_1,CYTDtl,CSNAT2x
ENGASEly,DOPAMT,CYTDtm,CSNAT3x
ESTRADIOLGLCt,DOPASFt,CYTK10,CSNATer
ESTRADIOLGLCt2,DOPASULT,CYTK10n,CSNATm
ESTRIOLGLCte,DOPAtu,CYTK11,CSNATp
ESTRIOLGLCtr,DPCOAtl,CYTK11n,CSNATr
ESTRONESt,DPGase,CYTK12,CSNt
ETF,DPGM,CYTK12n,CSPG_At
ETFQO,DPHMBDCm,CYTK13,CSPG_Atly
ETHAK,DPMVDx,CYTK13n,CSPG_Bt
ETOHtx,DPPS,CYTK14,CSPG_Btly
EX_10fthf_e,DRPA,CYTK14n,CSPG_Ct
EX_10fthf7glu_e,DSAT,CYTK1m,CSPG_Ctly
EX_13_cis_retnglc_e,DTTPtn,CYTK1n,CSPG_Dt
EX_2hb_e,DUDPtn,CYTK2n,CSPG_Dtly
EX_35cgmp_e,DUMPtn,CYTK3,CSPG_Et
EX_3aib_e,DURAD,CYTK3n,CSPG_Etly
EX_4hphac_e,DURAD2,CYTK4,CTPtn
EX_4mptnl_e,DURIK1,CYTK4n,CYANt
EX_5adtststeroneglc_e,DURIK1m,CYTK2_1,CYANtm
EX_5mthf_e,DUTPDPm,CYTK5n,CYSALANaEx
EX_7dhf_e,DUTPDPn,CPK1,CYSASNNaEx
EX_7thf_e,EBASTINEOHte,CYTK6n,CYSGLNNaEx
EX_acnacngal14acglcgalgluside_hs_e,EBASTINEOHtr,CYTK7,CYSGLYex
EX_acnacngalgbside_hs_e,EBASTINEte,CYTK7n,CYSO
EX_adp_e,EBASTINEtr,CYTK8,CYSSERNaEx
EX_adrnl_e,EBP1r,CYTK8n,CYSt4
EX_andrstrnglc_e,EBP2r,CYTK9,CYSTA
EX_aqcobal_e,ECOAH12m,CYTK9n,CYSTGLUex
EX_asp__D_e,ECOAH1m,DADA,CYSTHRNaEx
EX_bhb_e,ECOAH1x,DADNt4,CYSTSERex
EX_bilglcur_e,ECOAH9m,DAG_HSter,CYTD
EX_biocyt_e,EHGLAT2m,DAGK_hs,CYTDK1
EX_camp_e,EHGLATm,DAGKn_hs,CYTDK2m
EX_cmp_e,EICOSTETCPT1,DAGt,CYTDn
EX_co_e,EICOSTETCPT2,DALAOXx,CYTDt
EX_cyan_e,EICOSTETCRNt,DALAt2r,CYTDt4
EX_dhf_e,ELAIDCPT1,DALAxt,CYTDtl
EX_digalsgalside_hs_e,ELAIDCPT2,DARGOp,CYTDtm
EX_estriolglc_e,ELAIDCRNt,DASCBR_1,CYTDtn
EX_fuc13galacglcgal14acglcgalgluside_hs_e,ENGASE2ly,DASPO1p,CYTK10
EX_fucacngal14acglcgalgluside_hs_e,ENGASE3ly,DATPtn,CYTK10n
EX_fucacngalacglcgalgluside_hs_e,ENGASEly,DCIm,CYTK11
EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,ESTRADIOLt,DCK1n,CYTK11n
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,ESTRADIOLtr,DCK2n,CYTK12
EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,ESTRIOLtr,DCSPTN1COAtx,CYTK12n
EX_fucgal14acglcgalgluside_hs_e,ESTRONESt,DCSPTN1CPT1,CYTK13
EX_fuc__L_e,ESTRONEtr,DCSPTN1CPT2,CYTK13n
EX_gluala_e,ESTSULT,DCSPTN1CRNt,CYTK14
EX_glyc__S_e,ETF,DCSPTN1t,CYTK14n
EX_glygn2_e,ETFQO,DCTPtn,CYTK1m
EX_glygn4_e,ETHAK,DCYTD,CYTK1n
EX_gp1calpha_hs_e,ETOHtx,DCYTt,CYTK2n
EX_gtp_e,EX_10fthf_e,DDPGAm,CYTK3n
EX_i_e,EX_10fthf7glu_e,DEBRISOQUINEt,CYTK4n
EX_idp_e,EX_2hb_e,DECDPtm,CYTK2_1
EX_ksi_e,EX_34dhoxpeg_e,DEDOLP1_L,CYTK5n
EX_ksi_deg1_e,EX_3aib_e,DEDOLP2_L,CPK1
EX_ksii_core4_e,EX_3mlda_e,DEDOLR_L,CYTK6n
EX_lac__D_e,EX_4hdebrisoquine_e,DESAT16_2,CYTK7
EX_lipoate_e,EX_4hphac_e,DESAT18_10,CYTK7n
EX_mercplaccys_e,EX_4mptnl_e,DESAT18_3,CYTK8
EX_n2m2nmasn_e,EX_4nphsf_e,DESAT18_11,CYTK8n
EX_no_e,EX_5adtststerones_e,DESAT18_5,CYTK9
EX_o2s_e,EX_5fthf_e,DESAT18_6,CYTK9n
EX_oagt3_hs_e,EX_7dhf_e,DESAT18_12,D_3AIBt
EX_octa_e,EX_7thf_e,DESAT18_8,D3AIBTm
EX_oxa_e,EX_acnacngal14acglcgalgluside_hs_e,DESAT18_9,DADA
EX_peplys_e,EX_acnacngalgbside_hs_e,DESAT20_1,DADAe
EX_phyt_e,EX_acngalacglcgal14acglcgalgluside_hs_e,DESAT20_2,DADNt4
EX_s2l2fn2m2masn_e,EX_adprbp_e,DESAT24_1,DAG_HSter
EX_strch1_e,EX_adrnl_e,DGAT,DAGK_hs
EX_strch2_e,EX_arach_e,DGCHOLtx,DAGKn_hs
EX_tcynt_e,EX_arachd_e,DGK2m,DALAOXx
EX_tetpent3_e,EX_asp__D_e,DGNSKm,DALAt2r
EX_tettet6_e,EX_atp_e,DGSNt,DALAxt
EX_thyox__L_e,EX_bhb_e,DGSNtm,DARGOp
EX_tststeroneglc_e,EX_bilirub_e,DGTPtn,DASCBR_1
F1PGT,EX_biocyt_e,DHAAt1r,DASPO1p
FACOAL140,EX_chol_e,DHCHOLESTANATEtm,DATPtn
FACOAL150,EX_cholate_e,DHCR241r,DCIm
FACOAL160,EX_chsterol_e,DHCR242r,DCK1m
FACOAL170,EX_co_e,DHCR243r,DCK1n
FACOAL180,EX_cspg_a_e,DHCR71r,DCK2n
FACOAL181,EX_cspg_b_e,DHCR72r,DCSPTN1CPT1
FACOAL1821,EX_cspg_c_e,DHCRD1,DCSPTN1CPT2
FACOAL1831,EX_cspg_d_e,DHCRD2,DCSPTN1CRNt
FACOAL191,EX_cspg_e_e,DHDPBMTm,DCSPTN1t
FACOAL204,EX_cyan_e,DHEASt,DCT
FACOAL206,EX_dcsptn1_e,DHEASULT,DCTPtn
FACOAL226,EX_debrisoquine_e,DHEAtr,DCYTD
FACOAL244_1,EX_dhf_e,DHFtl,DCYTDn
FACOAL245_2,EX_digalsgalside_hs_e,DHFtm,DCYTt
FACOAL40im,EX_dmhptcrn_e,DHORD9,DDPGAm
FACOAL80,EX_dopasf_e,DHPM1,DEBRISOQUINEt
FADH2tx,EX_ebastine_e,DIGALSGALSIDEtg,DECDPtm
FADtx,EX_ebastineoh_e,DIGALSIDEtg,DESAT16_2
FAEL183,EX_estradiol_e,DIGALSIDEtl,DESAT18_10
FAEL184,EX_fuc13galacglcgal14acglcgalgluside_hs_e,DINt,DESAT18_3
FAEL204,EX_fuc14galacglcgalgluside_hs_e,D_LACt2,DESAT18_11
FAEL205,EX_fucacgalfucgalacglcgalgluside_hs_e,D_LACtm,DESAT18_5
FAH3_1,EX_fucacngal14acglcgalgluside_hs_e,DLNLCGCPT1,DESAT18_6
FALDH,EX_fucacngalacglcgalgluside_hs_e,DLNLCGCPT2,DESAT18_12
FAOXC1811602m_1,EX_fucfuc12gal14acglcgalgluside_hs_e,DLNLCGCRNt,DESAT18_8
FAOXC204184m,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,DLNLCGt,DESAT18_9
FAOXC2051843x,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,DM_Asn_X_Ser_Thr_l,DESAT20_1
FAOXC2242046x,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,DM_datp_m,DESAT20_2
FAOXC2252053m,EX_fucgal14acglcgalgluside_hs_e,DM_dctp_m,DESAT24_1
FAOXC226205x,EX_fuc__L_e,DM_dem2emgacpail_prot_hs_r,DGAT
FAOXC246226x,EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e,DM_dgpi_prot_hs_r,DGCHOLtx
FAS100COA,EX_gd1c_hs_e,DM_dsT_antigen_g,DGK2m
FAS120COA,EX_gluala_e,DM_dttp_m,DGNSKm
FATP1t,EX_glyc__S_e,DM_ethamp_r,DGSNt
FATP2t,EX_glygn2_e,DM_gncore2_g,DGSNtm
FATP9t,EX_glygn4_e,DM_gpi_sig_r,DGTPtn
FBA4,EX_gp1calpha_hs_e,DM_kdn_c,DHAAt1r
FBP26,EX_gq1balpha_hs_e,DM_mem2emgacpail_prot_hs_r,DHCHOLESTANATEtm
FCLTm,EX_gsn_e,DM_Ser_Thr_l,DHCR242r
FCOAH2,EX_gthox_e,DM_Ser_Gly_Ala_X_Gly_l,DHCR71r
FDH,EX_gtp_e,DM_sprm_c,DHCR72r
FE3R2e_1,EX_ha_e,DM_sTn_antigen_g,DHCRD1
FK,EX_hom__L_e,SK_T_antigen_g,DHCRD2
FORMCOAtx,EX_i_e,DMATTx,DHDPBMTm
FORtm,EX_idp_e,DMHPTCRNCPT2,DHEASt
FORtr,EX_ksi_e,DMHPTCRNt,DHEAStr
FPGS4_1,EX_ksi_deg1_e,DMHPTCRNte,DHEASULT
FPGS5,EX_ksii_core2_e,C110CPT2m,DHFtl
FPGS6,EX_ksii_core4_e,DMNONCRNt,DHORD9
FPGS8,EX_lac__D_e,DNADtn,DHPM1
FPGS9,EX_cysi__L_e,DNDPt10m,DHPM2
FRDPtr,EX_leuktrA4_e,DNDPt11m,DIDPtn
FTHFDH,EX_leuktrC4_e,DNDPt12m,DIGALSGALSIDEtg
FTHFLmi,EX_leuktrD4_e,DNDPt13m,DIGALSIDEtg
FUC13GALACGLCGAL14ACGLCGALGLUSIDEte,EX_lipoate_e,DNDPt14m,DIGALSIDEtl
FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg,EX_lpchol_hs_e,DNDPt15m,DINt
FUCACNGAL14ACGLCGALGLUSIDEte,EX_mercplaccys_e,DNDPt16m,DITPtn
FUCACNGAL14ACGLCGALGLUSIDEtg,EX_n2m2nmasn_e,DNDPt17m,DKMPPD
FUCACNGALACGLCGALGLUSIDEte,EX_nad_e,DNDPt18m,D_LACt2
FUCACNGALACGLCGALGLUSIDEtg,EX_nadp_e,DNDPt19m,D_LACtm
FUCASE2e,EX_ncam_e,DNDPt1m,DLNLCGCPT1
FUCASE2ly,EX_no_e,DNDPt20m,DLNLCGCPT2
FUCASEe,EX_nrpphrsf_e,DNDPt21m,DLNLCGCRNt
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,EX_o2s_e,DNDPt23m,DLNLCGt
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,EX_oagd3_hs_e,DNDPt24m,DM_13_cis_oretn_n
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,EX_oagt3_hs_e,DNDPt25m,DM_13_cis_retn_n
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg,EX_octa_e,DNDPt28m,DM_Asn_X_Ser_Thr_l
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,EX_oxa_e,DNDPt2m,DM_avite2_c
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,EX_pe_hs_e,DNDPt30m,DM_bvite_c
FUCGAL14ACGLCGALGLUSIDEte,EX_peplys_e,DNDPt31m,DM_core5_g
FUCGAL14ACGLCGALGLUSIDEtg,EX_pglyc_hs_e,DNDPt32m,DM_core7_g
FUCtly,EX_phyt_e,DNDPt37m,DM_core8_g
FUMAC,EX_prostge1_e,DNDPt38m,DM_datp_m
FUMm,EX_prostge2_e,DNDPt39m,DM_datp_n
FUT16g,EX_ps_hs_e,DNDPt3m,DM_dctp_m
FUT32g,EX_ptdca_e,DNDPt40m,DM_dctp_n
FUT910g,EX_retnglc_e,DNDPt41m,DM_dem2emgacpail_prot_hs_r
FUT911g,EX_Rtotal_e,DNDPt42m,DM_dgpi_prot_hs_r
FUT91g,EX_s2l2fn2m2masn_e,DNDPt43m,DM_dgtp_m
FUT92g,EX_s2l2n2m2masn_e,DNDPt44m,DM_dgtp_n
FUT94g,EX_sl__L_e,DNDPt45m,DM_dsT_antigen_g
FUT95g,EX_spc_hs_e,DNDPt46m,DM_dttp_m
FUT96g,EX_sphs1p_e,DNDPt47m,DM_dttp_n
FUT97g,EX_strch1_e,DNDPt48m,DM_ethamp_r
FUT98g,EX_strch2_e,DNDPt49m,DM_gncore2_g
FUT99g,EX_tag__D_e,DNDPt4m,DM_gpi_sig_r
G14T18g,EX_tcynt_e,DNDPt50m,DM_hretn_n
G14T19g,EX_tethex3_e,DNDPt51m,DM_kdn_c
G14T20g,EX_tetpent3_e,DNDPt52m,DM_m3gacpail_prot_hs_r
G14T21g,EX_tetpent6_e,DNDPt53m,DM_melanin_c
G14T2g,EX_thyox__L_e,DNDPt54m,DM_mem2emgacpail_prot_hs_r
G14T3g,EX_triodthy_e,DNDPt55m,DM_n5m2masn_g
G14T4g,EX_tststerone_e,DNDPt56m,DM_oretn_n
G14T5g,EX_tststerones_e,DNDPt57m,DM_Ser_Thr_l
G3PD2m,EX_tsul_e,DNDPt58m,DM_Ser_Gly_Ala_X_Gly_l
G5SADrm,EX_tymsf_e,DNDPt59m,DM_sprm_c
G5SDym,EX_utp_e,DNDPt5m,DM_sTn_antigen_g
G6PDH2er,EX_whtststerone_e,DNDPt60m,SK_T_antigen_g
G6Pter,EX_xolest_hs_e,DNDPt61m,DM_yvite_c
GABAVESSEC_1,EX_xoltri25_e,DNDPt62m,DMANTIPYRINEte
GACMTRc,EX_xoltri27_e,DNDPt63m,DMATTx
GACPAILter,F1PGT,DNDPt6m,DMGDHm
GAL3ST12,FACOAL140,DNDPt7m,DMGtm
GALASE10ly,FACOAL150,DOLGLCP_Lter,DMNONCOACRNCPT1
GALASE11ly,FACOAL160,DOLGPP_Ler,C110CPT2m
GALASE12ly,FACOAL170,DOLICHOL_Lter,DNDPt30m
GALASE13ly,FACOAL180,DOLICHOL_Uter,DNDPt38m
GALASE14ly,FACOAL1812_1,DOLK_L,DOLGLCP_Lter
GALASE15ly,FACOAL1813,DOLK_U,DOLGPP_Ler
GALASE16ly,FACOAL181,DOLMANP_Uter,DOLICHOL_Lter
GALASE17ly,FACOAL1821,DOLPH_Ler,DOLICHOL_Uter
GALASE18ly,FACOAL1822,DOLPH_Uer,DOLK_U
GALASE19ly,FACOAL1831,DOLPMT_U,DOLMANP_Uter
GALASE1ly,FACOAL1832,DOLP_Uter,DOLPH_Ler
GALASE20ly,FACOAL184,DOPABMO_1,DOLPH_Uer
GALASE3ly,FACOAL191,DOPAMT,DOLPMT_U
GALASE4ly,FACOAL200,DOPASFt,DOPABMO_1
GALASE5ly,FACOAL203,DOPASULT,DOPACHRMISO
GALASE6ly,FACOAL204,DOPAtu,DOPAQNISO1
GALASE7ly,FACOAL2042,DOPAVESSEC_1,DOPASFt
GALASE8ly,FACOAL205,DORNOp,DOPASULT
GALASE9ly,FACOAL206,DPCOAtl,DOPAt4_2_r
GALC,FACOAL224,DPGase,DOPAtu
GALGT1,FACOAL2251,DPGM,DOPAVESSEC_1
GALGT3,FACOAL2252,DPHMBDCm,DORNOp
GALGT4,FACOAL226,DPMVDx,DPCOAtl
GALNACT1g,FACOAL240_1,DPPS,DPGase
GALNACT2g,FACOAL241,DRPA,DPGM
GALNACT3g,FACOAL244_1,DSAT,DPHMBDCm
GALNACT4g,FACOAL245_1,DTTPtn,DPMVDx
GALNACT5g,FACOAL245_2,DUDPtn,DPPS
GALNTg,FACOAL246_1,DUMPtn,DRPA
GALSIDEtl,FACOAL260,DURAD,DTDPtn
GALt1r,FACOAL80,DURAD2,DUDPtn
GALT2g,FADDP,DURIK1,DURAD
GALTg,FADH2tru,DURIK1m,DURAD2
GALtly,FADtru,DURIt,DURIK1
GAMt1r,FAEL183,DUTPDPm,DURIt
GAO2,FAEL184,DUTPDPn,DURItn
GARFT,FAEL204,EBASTINEOHte,EAFLATOXINte
GASNASE2ly,FAEL205,EBASTINEOHtr,EBASTINEOHte
GASNASE3ly,FAH3_1,EBASTINEte,EBASTINEOHtr
GASNASEly,FALDH,EBASTINEtr,EBASTINEte
GBA,FAOXC11,EBP1r,EBASTINEtr
GBAl,FAOXC140,EBP2r,EBP1r
GCALDDm,FAOXC150m,ECOAH12m,EBP2r
GCC2cm,FAOXC160,ECOAH1m,ECOAH12m
GCHOLAt,FAOXC16080m,ECOAH1x,ECOAH1x
GD1Cte,FAOXC161802m,ECOAH9m,ECOAH9m
GD1Ctg,FAOXC16180m,EHGLAT2m,EHGLAT2m
GDPFUCtg,FAOXC170m,EHGLATm,EHGLATm
GDPtg,FAOXC180,EICOSTETCPT1,EICOSTETCPT1
GFUCS,FAOXC1811601m,EICOSTETCPT2,EICOSTETCPT2
GGH_10FTHF5GLUe,FAOXC1811602m_1,EICOSTETCRNt,EICOSTETCRNt
GGH_10FTHF5GLUl,FAOXC1811603m,EICOSTETt,ELAIDCPT1
GGH_10FTHF6GLUe,FAOXC182806m,ELAIDCPT1,ELAIDCPT2
GGH_10FTHF6GLUl,FAOXC18280m,ELAIDCPT2,ELAIDCRNt
GGH_10FTHF7GLUe,FAOXC183803m,ELAIDCRNt,ELAIDt
GGH_10FTHF7GLUl,FAOXC183806m,ELAIDt,ENGASE2ly
GGH_5DHFe,FAOXC18480m,ENGASE2ly,ENGASE3ly
GGH_5DHFl,FAOXC200180m,ENGASE3ly,ENGASEly
GGH_5THFe,FAOXC2031836m,ENGASEly,ESTRADIOLGLCt
GGH_5THFl,FAOXC204,ESTRADIOLGLCt,ESTRADIOLGLCt2
GGH_6DHFe,FAOXC204184m,ESTRADIOLGLCt2,ESTRADIOLGLCtr
GGH_6DHFl,FAOXC2051843m,ESTRADIOLt,ESTRADIOLtr
GGH_6THFe,FAOXC2242046m,ESTRADIOLtr,ESTRIOLGLCte
GGH_6THFl,FAOXC2251836m,ESTRIOLGLCte,ESTRIOLGLCtr
GGH_7DHFe,FAOXC2252053m,ESTRIOLGLCtr,ESTRONEGLCt
GGH_7DHFl,FAOXC226,ESTRIOLtr,ESTRONEGLCtr
GGH_7THFe,FAOXC226205m,ESTRONESt,ESTRONESt
GGH_7THFl,FAOXC80,ESTRONEtr,ESTRONESt2
GGLUCT,FAS100COA,ESTSULT,ESTSULT
GGNG,FAS120COA,ETF,ETF
GHMT2rm,FAS140COA,ETFQO,ETFQO
GHMT3,FAS160COA,ETHAK,ETHAK
GLACO,FAS180COA,ETHP,ETHP
GLACter,FAS80COA_L,ETOHMO,ETOHMO
GLB1,FATP1t,ETOHtx,EX_10fthf_e
GLBRAN,FATP8t,EX_10fthf_e,EX_10fthf5glu_e
GLCAASE1ly,FBA4,EX_10fthf5glu_e,EX_10fthf6glu_e
GLCAASE4ly,FBA5,EX_10fthf6glu_e,EX_10fthf7glu_e
GLCAASE5ly,FBP26,EX_10fthf7glu_e,EX_11_cis_retfa_e
GLCAASE6ly,FCLTm,EX_1glyc_hs_e,EX_13_cis_retnglc_e
GLCAASE7ly,FCOAH2,EX_24nph_e,EX_1glyc_hs_e
GLCAASE8ly,FDH,EX_2hb_e,EX_2425dhvitd2_e
GLCAASE9ly,FE3R2e_1,EX_34dhphe_e,EX_2425dhvitd3_e
GLCAE1g,FK,EX_35cgmp_e,EX_24nph_e
GLCAE2g,FOLt2_1,EX_3aib_e,EX_25hvitd2_e
GLCAT2g,FORMCOAtx,EX_3mlda_e,EX_25hvitd3_e
GLCAT3g,FORtm,EX_4hdebrisoquine_e,EX_2hb_e
GLCAT4g,FORtr,EX_4hphac_e,EX_2mcit_e
GLCAT5g,FPGS2,EX_4mptnl_e,EX_34dhoxpeg_e
GLCAT6g,FPGS2m,EX_4nph_e,EX_34dhphe_e
GLCAT7g,FPGS3,EX_4nphsf_e,EX_35cgmp_e
GLCAT8g,FPGS3m,EX_4pyrdx_e,EX_3aib_e
GLCAT9g,FPGS4_1,EX_5adtststerone_e,EX_3aib__D_e
GLCATg,FPGS4m_1,EX_5adtststeroneglc_e,EX_3mlda_e
GLCMter,FPGS5,EX_5adtststerones_e,EX_4hdebrisoquine_e
GLCNACASE1ly,FPGS5m,EX_5dhf_e,EX_4hphac_e
GLCNACASE2ly,FPGS6,EX_5fthf_e,EX_4mptnl_e
GLCNACASE3ly,FPGS6m,EX_5htrp_e,EX_4mtolbutamide_e
GLCNACASE4ly,FPGS7m_1,EX_5mthf_e,EX_4nph_e
GLCNACASE5ly,FPGS8,EX_5thf_e,EX_4nphsf_e
GLCNACDASg,FPGS8m,EX_6dhf_e,EX_4pyrdx_e
GLCNACT1g,FPGS9,EX_6thf_e,EX_5adtststerone_e
GLCNACT2g,FPGS9m,EX_7dhf_e,EX_5adtststeroneglc_e
GLCNACT3g,FPGSm_1,EX_7thf_e,EX_5adtststerones_e
GLCNACT4g,FRDPtr,EX_acetone_e,EX_5dhf_e
GLCNACT5g,FTHFDH,EX_ach_e,EX_5fthf_e
GLCt1,FTHFLmi,EX_acn13acngalgbside_hs_e,EX_5homeprazole_e
GLCtg,FUC13GALACGLCGAL14ACGLCGALGLUSIDEte,EX_acn23acngalgbside_hs_e,EX_5htrp_e
GLCtly,FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg,EX_acnacngal14acglcgalgluside_hs_e,EX_5mthf_e
GLCURter,FUC14GALACGLCGALGLUSIDEte,EX_acnacngalgbside_hs_e,EX_5thf_e
GLCURtly,FUC14GALACGLCGALGLUSIDEtg,EX_acngalacglcgal14acglcgalgluside_hs_e,EX_6dhf_e
GLDBRAN,FUCACGALFUCGALACGLCGALGLUSIDEte,EX_adp_e,EX_6htststerone_e
GLGNS1,FUCACNGAL14ACGLCGALGLUSIDEte,EX_adprbp_e,EX_6thf_e
GLPASE1,FUCACNGAL14ACGLCGALGLUSIDEtg,EX_adrn_e,EX_7dhf_e
GLPASE2,FUCACNGALACGLCGALGLUSIDEte,EX_adrnl_e,EX_7thf_e
GLU5Km,FUCACNGALACGLCGALGLUSIDEtg,EX_ahandrostanglc_e,EX_9_cis_retfa_e
GLUCYS,FUCASE2e,EX_ak2lgchol_hs_e,EX_abt_e
GLUDC,FUCASE2ly,EX_ala_B_e,EX_acetone_e
GDHm,FUCASEe,EX_amp_e,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e
GLUDym,FUCASEly,EX_andrstrn_e,EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e
GLUNm,FUCFUC12GAL14ACGLCGALGLUSIDEte,EX_andrstrnglc_e,EX_ach_e
GLUt2m,FUCFUC12GAL14ACGLCGALGLUSIDEtg,EX_aprgstrn_e,EX_acn13acngalgbside_hs_e
GLUt6,FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,EX_aqcobal_e,EX_acn23acngalgbside_hs_e
