mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
apoC[l]ys[c],gly[e],ksii_core2_pre7_g,melatn[c]
apoC[m],ser_[l][c],ksii_core2_pre8_g,ac[g]
lys_[l][m],ser_[l][e],agm_m,acetol[c]
apoC[l]ys[m],thr_[l][c],urea_m,adn[c]
apoC[l]ys_btn[c],thr_[l][e],Rtotal2coa_c,ins[c]
biocyt[c],12ppd__R[c],alpa_hs_c,adn[e]
apoC[l]ys_btn[m],lald__D[c],pa_hs_c,ins[e]
biocyt[m],lald_[l][c],ala__L_m,nh4[e]
aprut[c],12ppd__S[c],glx_m,ade[e]
n4abutn[c],etoh[c],gly_m,ade[c]
aqcobal[e],id3acald[c],gly_x,gtp[c]
aqcobal[c],ind3ac[c],pyr_x,gdp[c]
arab_[l][e],id3acald[m],ahandrostanglc_c,gtp[m]
arab_[l][c],ind3ac[m],ahandrostanglc_e,gdp[m]
arachcoa[c],pristanal[c],ahandrostanglc_r,damp[c]
arachcoa[x],prist[c],ahcys_r,datp[c]
arachcrn[c],arachd[c],n2m2nmn_l,dadp[c]
arachcrn[m],15HPET[c],n2m2mn_l,ametam[c]
arachcoa[m],5HPET[c],air_c,camp[c]
arachdcoa[c],leuktrA4[c],5aizc_c,adn[m]
arachdcoa[x],dhcholestancoa[x],succoa_m,adn[l]
arachd[e],cholcoar[x],mal__L_c,adpman[c]
arachd[r],amet[r],mal__L_m,man1p[c]
arg_[l][m],ahcys[m],akg_e,adprib[e]
arg_[l][e],amet[m],akg_x,adprib[c]
arg_[l][c],imp[c],prgstrn_c,adp[x]
lys_[l][e],cgly[e],aprgstrn_c,adrncoa[c]
orn[m],amp[x],xol7ah_c,adrncoa[x]
citr_[l][c],strch1[e],xol7ah2_c,crn[c]
argsuc[c],glc__D[e],xoldioloneh_c,adrncrn[c]
galside_hs[l],strch2[e],xoltriol_c,adrncrn[m]
so4[l],glygn2[e],xol7aone_c,adrncoa[m]
Rtotalcoa[c],glygn4[e],xoldiolone_c,crn[m]
Rtotal[c],andrstrn[r],ala__L_e,adrnl[e]
Rtotal2[c],2aobut[m],asn__L_c,adrn[e]
Rtotal3coa[c],ala_B[m],ala__L_c,adrn[c]
Rtotal3[c],msa[m],asn__L_e,aps[c]
tmndnccoa[c],apoC[c],cys__L_c,dcamp[c]
