mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
gluthrlys[c],C14769[e],c3dc_c,CE5119[m]
glutrpala[c],C14770[e],c4dc_x,CE5120[m]
glyhisasn[c],C14771[e],c4dc_c,CE4790[m]
glyhislys[c],CE2445[e],c4dc_e,CE4792[m]
glylyscys[c],CE2537[e],c4crn_x,CE4794[m]
glylysphe[c],CE6247[c],btcoa_x,CE4990[c]
glytyrlys[c],CE6247[e],ivcoa_c,leuktrB4[m]
glyvalhis[c],cortsn[c],ivcrn_c,CE4990[m]
hisargcys[c],didecaeth[e],c51crn_c,leuktrB4[x]
hisargser[c],diholineth[e],c5dc_c,CE4990[x]
hisasp[c],docohxeth[e],c5dc_e,leuktrB4woh[m]
hiscyscys[c],docteteth[e],hxcoa_c,CE2053[m]
hisglnala[c],hepdeceth[e],c6crn_c,CE2053[r]
hisglu[c],hexdeceeth[e],hxcoa_x,CE2053[c]
hisglugln[c],hxcoa[e],c6crn_x,leuktrB4wcooh[c]
hisglylys[c],leuktrB4woh[e],c6dc_c,leuktrB4wcooh[m]
hishislys[c],lineth[e],c81coa_c,CE2056[r]
hislysala[c],lthstrl[e],c81crn_c,CE3554[r]
hislysglu[c],Nacasp[e],sbcoa_c,CE2567[c]
hislysile[c],oleth[e],c8dc_c,CE7172[c]
hislysthr[c],pendecaeth[e],dca_r,C06315[c]
hislysval[c],pmeth[e],doco13ecoa_c,C06314[c]
hismet[c],sphmyln180241_hs[e],doco13ecoa_x,C05769[c]
hismetgln[c],sphmyln18114_hs[e],doco13ac_e,cpppg3[c]
hisphearg[c],sphmyln18115_hs[e],docosac_e,C05770[c]
hisprolys[c],sphmyln18116_hs[e],docosac_r,CE2038[x]
histrphis[c],sphmyln181161_hs[e],docosdiac_c,CE5934[x]
ileargile[c],sphmyln18117_hs[e],docoscoa_x,C07297[x]
ileasnhis[c],sphmyln18118_hs[e],docosdiac_e,CE4793[c]
ileasp[c],sphmyln181181_hs[e],3hdececrn_e,CE5114[c]
ileglnglu[c],sphmyln18120_hs[e],3hexdcrn_e,CE4812[c]
ileglyarg[c],sphmyln181201_hs[e],3octdec2crn_e,CE2209[c]
ileprolys[c],sphmyln18121_hs[e],3octdeccrn_e,CE4811[c]
ileserarg[c],sphmyln18122_hs[e],3octdece1crn_e,CE4810[c]
iletrptyr[c],sphmyln181221_hs[e],c51crn_e,lnlncacoa[r]
leualaarg[c],sphmyln18123_hs[e],ivcrn_e,CE4821[c]
leuasnasp[c],sphmyln1824_hs[e],dece3coa_x,CE4819[c]
leuasplys[c],sphmyln1825_hs[e],dec47dicoa_m,CE4817[c]
leuleutrp[c],steeth[e],dectricoa_m,tmndnc[r]
leupro[c],tetdecaeth[e],dec47dicoa_x,tmndnccoa[r]
leuproarg[c],trideceth[e],dectricoa_x,CE2313[c]
leusertrp[c],xolest182_hs[e],2decdicoa_m,CE2314[c]
leutrp[c],xolest205_hs[e],octe5coa_m,zymstnl[c]
leutrparg[c],xolest226_hs[e],2decdicoa_x,lthstrl[c]
leutyrtyr[c],glyclt[e],octe5coa_x,tethex3[r]
leuval[c],ind3ac[e],3decdicoa_m,tethex3coa[r]
lysargleu[c],leuktrB4woh[c],3decdicoa_x,CE4833[c]
lyscyshis[c],pser_[l][c],sebcoa_x,CE4831[c]
lysglnphe[c],ttdcea[c],sbcoa_x,CE4835[c]
lysgluglu[c],estriol[e],tmuncoa_x,CE4834[c]
lyslyslys[c],phaccoa[m],undcoa_m,CE4849[c]
lyspheile[c],pheacgly[m],noncoa_m,CE4832[x]
lystrparg[c],pheacgly[c],dd5ecoa_m,CE4820[x]
lystyrile[c],pheacgly[e],dd3coa_x,CE4838[x]
lysvalphe[c],pcresol[c],2ddecdicoa_m,tetpent6[r]
lysvaltrp[c],pcs[c],3ddecdicoa_m,tetpent6coa[r]
metargleu[c],pcresol[e],3ddecdicoa_x,CE4841[c]
metasntyr[c],pcs[e],2ddecdicoa_x,CE4840[c]
metglntyr[c],dhbpt[e],2dodtricoa_m,CE4842[c]
metglyarg[c],homoval[e],2dodtricoa_x,CE4843[c]
methislys[c],xolest183_hs[c],3dodtricoa_m,CE4845[c]
metmetile[c],xolest182_hs[c],3dodtricoa_x,CE4844[c]
metphearg[c],xolest205_hs[c],c12dc_x,CE4846[c]
mettrpphe[c],xolest226_hs[c],tmtrdcoa_x,CE4847[c]
pheasnmet[c],sphmyln_hs[e],tridcoa_m,CE4852[c]
pheasp[c],pgp_hs[m],tetd7ecoa_m,CE4854[c]
pheglnphe[c],pglyc_hs[m],tetde5coa_x,CE4850[c]
pheleu[c],ppp9[c],tetdecdicoa_m,CE4848[c]
pheleuasp[c],acgal[e],tetdecdicoa_x,CE4853[c]
pheleuhis[c],f1a[e],ttetddcoa_m,CE4855[c]
phelysala[c],lpam[e],5tedtricoa_m,CE4851[c]
phelyspro[c],lpam[c],5tedtricoa_x,CE4801[m]
phephe[c],2obut[e],c14dccoa_x,CE4803[m]
phepheasn[c],grdp[c],hexde7coa_x,CE4800[m]
phephethr[c],methf[c],3hdeccoa_m,CE4796[m]
pheproarg[c],ppbng[c],hexddcoa_m,CE4802[m]
phesertrp[c],hmbil[c],thexddcoa_m,CE4804[m]
phethrlys[c],4ppan[c],2hexdtricoa_x,CE5049[c]
phetrpleu[c],4ppcys[c],hexdtrcoa_m,CE4798[m]
phetyr[c],phom[c],4hexdtricoa_m,CE4799[m]
phetyrgln[c],HC01434[c],hexdectecoa_m,CE4808[m]
phetyrlys[c],HC01668[c],4hexdtricoa_x,CE4807[m]
proargasp[c],fprica[c],hexdectecoa_x,CE4797[m]
proargcys[c],glcr[e],2hexdtricoa_m,CE4806[m]
proasncys[c],xyl__D[e],3hexdtricoa_m,CE1562[c]
procys[c],gal1p[c],3hexdtricoa_x,CE6031[c]
proglnpro[c],im4ac[c],2hexdtetcoa_m,CE5144[c]
proglulys[c],etoh[e],2hexdtetcoa_x,CE5151[c]
prohis[c],phpyr[e],4hexdtetcoa_m,CE5152[c]
prohistyr[c],vanilpyr[c],hexdpencoa_m,CE5155[c]
proleuarg[c],vanillac[c],4hexdtetcoa_x,CE5156[c]
prolyspro[c],vanillac[e],hexdpencoa_x,CE5148[c]
prophe[c],2h3mv[c],3hexdtetcoa_m,CE5150[c]
proproarg[c],2h3mv[e],3hexdtetcoa_x,CE5153[c]
propropro[c],2hiv[c],3hexdcoa_m,CE5154[c]
protrplys[c],2hiv[e],hexdicoa_x,CE5157[c]
protrpthr[c],2m3ovcoa[m],hexdiac_r,CE5158[c]
provalgln[c],2m3ovac[m],hexdicoa_r,CE2510[c]
serargala[c],2m3ovac[c],ocde9ecoa_x,doco13ac[c]
serargtrp[c],2m3hvac[c],octdececoa_m,CE5160[c]
sercysarg[c],2m3hvac[e],3octdece1coa_m,CE5161[c]
serglyglu[c],3hadicoa[x],3ocddcoa_m,CE5162[c]
serlyshis[c],3hadpac[x],2octdectecoa_m,cholcoads[m]
serphelys[c],3hadpac[c],2octdectecoa_x,CE4874[m]
sertrphis[c],3hadpac[e],3octdectecoa_m,C14826[c]
thrargtyr[c],3ohsebcoa[x],3octdectecoa_x,CE2049[c]
thrasntyr[c],3ohsebac[x],2octpencoa_m,C14825[c]
thrglnglu[c],3ohsebac[c],3octpencoa_m,CE2047[c]
thrglntyr[c],3ohsebac[e],3hodcoa_m,12dgr120[e]
thrhishis[c],3ohsubcoa[x],ei11ecoa_x,cdpea[e]
thrilearg[c],3ohsubac[x],eitetcoa_m,C14768[c]
thrmetarg[c],3ohsubac[c],eitetcoa_x,C14770[c]
thrphearg[c],3ohsubac[e],eipencoa_x,C14769[c]
thrserarg[c],thexdd[m],5eipencoa_m,C14771[c]
thrthrarg[c],thexdd[c],2docopencoa_m,CE2445[c]
thrtyrmet[c],thexdd[e],2docopencoa_x,CE5178[c]
trpalapro[c],hexdtr[m],docohexcoa_m,C11821[c]
trpargala[c],hexdtr[c],docohexcoa_x,alltn[c]
trpaspasp[c],hexdtr[e],3docopencoa_m,CE5853[e]
trpglngln[c],hpdececoa[m],3docopencoa_x,CE1925[e]
trpglugly[c],hpdece[m],2docohexecoa_m,C04717[c]
trpgluleu[c],hpdece[c],docohepcoa_m,C01601[c]
trpglupro[c],hpdece[e],docosahexcoa_m,CE2006[c]
trpglutyr[c],eic21114tr[c],omhdocosac_r,CE6506[c]
trpglyleu[c],eic21114tr[e],succoa_c,CE6504[c]
trpglyphe[c],5eipenc[m],pentcoa_m,C08261[c]
trpglyval[c],5eipenc[c],glutcoa_c,CE4876[r]
trphismet[c],5eipenc[e],3ivcoa_m,CE5944[c]
trpilelys[c],T4hcinnm[c],3ivcoa_c,CE5944[m]
trpiletrp[c],T4hcinnm[e],3ivcrn_c,CE5944[x]
trpleuval[c],andrstandn[c],hx2coa_x,CE4987[c]
trplys[c],C05769[e],hexe3coa_m,CE4988[c]
trpmetarg[c],ppp9[e],hexe3coa_x,CE4988[m]
trpmetval[c],mlthf[e],succoa_x,CE4988[x]
trpphe[c],34dhoxmand[e],hepcoa_m,CE5947[c]
trpprogly[c],4hbz[c],omhdecacid_r,CE7097[c]
trpproleu[c],CE7081[r],hexdiac_c,CE7097[m]
trpproval[c],CE7081[c],omhdocosac_c,C04805[c]
trpsertyr[c],CE7081[e],omhdecacid_c,CE7096[c]
trpthrglu[c],18harachd[c],sebacid_c,CE2084[c]
trpthrile[c],18harachd[e],tdec4ecoa_m,C04805[m]
trpthrtyr[c],sql[c],ctdecdcoa_m,CE2084[m]
trptyrgln[c],xol24oh[c],tddedi2coa_m,CE6508[c]
trptyrtyr[c],ppbng[e],tddedicoa_m,CE7091[r]
trpvalasp[c],im4ac[e],ocdececrn_c,CE7085[c]
tyrala[c],prist[e],ocdececrn_m,CE7088[c]
tyralaphe[c],CE2049[e],octdececrn_c,CE0347[c]
tyrargglu[c],CE2047[e],octdececrn_m,CE0347[r]
tyrargser[c],dopa4sf[c],octdececoa_c,12HPET[e]
tyrasparg[c],dopa4glcur[c],subeac_x,C04849[e]
tyrcysgly[c],dopa3glcur[c],sebacid_x,CE6230[c]
tyrcysthr[c],dopa4sf[e],subeac_c,CE2537[c]
tyrglu[c],dopa4glcur[e],c8dc_x,CE6234[c]
tyrleuarg[c],dopa3glcur[e],4hpro_LT_e,CE5947[m]
tyrphetyr[c],6hddopaqn[c],alaala_c,leuktrB4wcooh[x]
tyrthr[c],23dh1i56dio[c],alaala_e,CE5947[x]
tyrtrpphe[c],4glu56dihdind[c],glygly_c,dec24dicoa[m]
tyrtyr[c],Rtotal[r],glygly_e,dece3coa[m]
tyrvalmet[c],dhcrm_hs[r],glypro_e,uppg3[c]
valarggly[c],Rtotal[g],glypro_c,HC00004[e]
valhisasn[c],sphings[g],glysar_c,CE0074[e]
valleuphe[c],dhcrm_hs[g],leuleu_c,2mb2coa[c]
vallystyr[c],sphgn[g],leuleu_e,3hbcoa__R[c]
valphearg[c],phcrm_hs[g],progly_e,adpac[c]
valprotrp[c],phsphings[g],progly_c,adpcoa[c]
valserarg[c],phcrm_hs[r],thm_e,adpac[x]
valtrpphe[c],phsphings[r],avite1_c,adpcoa[x]
valtrpval[c],galgluside_hs[e],1a25dhvitd3_c,c6dc[x]
valval[c],gluside_hs[e],1a25dhvitd3_n,3bcrn[c]
trpglyasp[c],gm1_hs[l],oh1_c,3bcrn[e]
glyleu[c],gm2_hs[l],oh1_e,c10crn[c]
homoval[e],ga1_hs[l],q10_e,c101coa[c]
xolest183_hs[c],ga2_hs[l],dhap_m,c101crn[c]
xolest182_hs[c],gd1b_hs[l],5dpmev_c,c101crn[e]
xolest205_hs[c],gd2_hs[l],fmn_e,decdicoa[c]
xolest226_hs[c],phcrm_hs[c],q10h2_e,decdicrn[c]
sphmyln_hs[e],gd3_hs[e],fe3_c,c10crn[e]
pgp_hs[m],gm3_hs[e],6pgl_c,c10dc[x]
pglyc_hs[m],ga1_hs[e],dmpp_c,c10dc[c]
acnam[e],gd3_hs[l],5pmev_c,sebcoa[c]
ppp9[c],thcrm_hs[l],1pyr5c_c,c10dc[e]
lpam[e],atp[g],pheme_e,3hdcoa[c]
lpam[c],adp[g],34hpp_e,3deccrn[c]
grdp[c],gm2_hs[e],5mta_e,ddeccrn[c]
methf[c],gm3_hs[l],ahcys_e,dd2coa[c]
ppbng[c],gd1a_hs[c],aicar_e,ddece1crn[c]
hmbil[c],gm1_hs[c],cbasp_e,c12dccoa[x]
4ppan[c],gd1b_hs[c],idour_e,dodecanac[x]
4ppcys[c],gt1b_hs[c],5hoxindoa_e,dodecanac[c]
HC01434[c],ga1_hs[c],Lkynr_e,c12dccoa[c]
HC01668[c],gm2_hs[c],cala_e,c12dc[c]
fprica[c],ga2_hs[c],crtn_e,c12dc[e]
glcr[e],gd1a_hs[n],kynate_e,3hddcoa[c]
gal1p[c],gm1_hs[n],hLkynr_e,3ddcrn[c]
etoh[e],dag_hs[g],quln_e,3tetd7ecoa[m]
phpyr[e],pchol_hs[n],cholp_e,3tetd7ecoa[c]
2hyoxplac[e],sphmyln_hs[n],cyst__L_e,tetdece1coa[c]
vanilpyr[c],phsphings[c],cyst__L_c,tetdece1crn[c]
vanillac[c],phsph1p[c],dcmp_e,3tetd7ecoacrn[c]
vanillac[e],sphings[n],ethamp_e,3tetd7ecoacrn[e]
2h3mv[c],sphs1p[n],g3pc_e,3ttetddcoa[m]
2h3mv[e],sphgn[n],L2aadp_e,3ttetddcoa[c]
2hiv[c],sph1p[n],udpglcur_e,tetdec2coa[c]
2hiv[e],cholp[n],orot5p_e,tetdec2crn[c]
caproic[c],cmpacna[e],retinal_e,3ttetddcoacrn[c]
peste_hs[c],h2o2[r],acrn_e,3ttetddcoacrn[e]
hpdececoa[m],15HPET[n],pcrn_e,3htdcoa[c]
hpdece[m],15HPET[x],lneldccrn_e,3tdcrn[c]
hpdece[c],15HPET[r],odecrn_e,3hdeccoa[c]
hpdece[e],M00234[e],stcrn_e,3hdececrn[c]
C05769[e],M01807[e],pmtcrn_e,3thexddcoa[m]
mhista[e],M00503[e],hdcecrn_e,3thexddcoa[c]
CE2006[e],M00003[e],15kprostgf2_c,3thexddcoacrn[c]
mlthf[e],M00008[e],and19one_c,3thexddcoacrn[e]
selmeth[e],M00010[e],ttdceacoa_c,hexdicoa[c]
selmeth[c],M00117[e],pcholmyr_hs_e,c16dc[c]
CE7090[c],M00260[e],pcholole_hs_e,c16dc[e]
CE7090[e],M00315[e],peole_hs_e,3hexdcoa[c]
CE7085[e],M01238[e],pcholpalme_hs_e,3hexdcrn[c]
CE7096[e],M02613[e],pcholpalm_hs_e,3octdece1coa[c]
CE4877[e],M03045[e],pepalm_hs_e,3octdece1crn[c]
CE1447[c],M02694[m],pail_hs_e,3ocddcoa[c]
CE1447[e],M02107[m],pailpalm_hs_e,3octdec2crn[c]
C05770[e],M02616[m],pcholste_hs_e,3hodcoa[c]
CE2705[e],M03116[m],peste_hs_e,3octdeccrn[c]
hdd2crn[e],M03051[c],pailste_hs_e,c3dc[c]
34dhoxmand[e],M03050[c],pchol2linl_hs_e,c3dc[e]
CE6205[e],M00129[c],pe2linl_hs_e,c4crn[e]
1a25dhvitd3[e],M00117[c],pchol2ole_hs_e,c4dc[x]
CE7081[r],HC10784[c],pchol2palm_hs_e,c4dc[c]
CE7081[c],M02745[c],pchol2ste_hs_e,c4dc[e]
xol24oh[c],M01141[c],xolest183_hs_e,c4crn[x]
dopa4glcur[c],M01197[c],xolest181_hs_e,btcoa[x]
dopa3glcur[c],M01191[c],xolest204_hs_e,ivcoa[c]
dopa4glcur[e],M00003[c],pcholn15_hs_e,ivcrn[c]
dopa3glcur[e],M00004[c],pcholar_hs_e,c51crn[c]
CE5026[e],M01238[c],pcholn183_hs_e,c5dc[c]
CE5025[e],M01237[c],pcholn1836_hs_e,c5dc[e]
Rtotal[r],M00019[c],pcholn19_hs_e,hxcoa[c]
dhcrm_hs[r],M00020[c],pcholn201_hs_e,c6crn[c]
Rtotal[g],vacccoa[c],pcholn204_hs_e,hxcoa[x]
sphings[g],M00127[c],pcholn205_hs_e,c6crn[x]
dhcrm_hs[g],M00115[c],pcholn224_hs_e,c6crn[e]
sphgn[g],M00116[c],pcholn225_hs_e,c6dc[c]
phcrm_hs[g],M02613[c],pcholn2254_hs_e,c6dc[e]
phsphings[g],M02612[c],pcholn226_hs_e,c81coa[c]
phcrm_hs[r],M00017[c],pear_hs_e,c81crn[c]
phsphings[r],M00018[c],pe203_hs_e,c81crn[e]
galgluside_hs[e],M01235[c],pe226_hs_e,c8crn[e]
gluside_hs[e],M01236[c],pe224_hs_e,sbcoa[c]
gm1_hs[l],M01207[c],pedh203_hs_e,c8dc[c]
gm2_hs[l],M00123[c],pe12_hs_e,c8dc[e]
ga1_hs[l],M02457[c],pe14_hs_e,dca[r]
ga2_hs[l],M00101[c],pe161_hs_e,3ddcrn[e]
gd1b_hs[l],M02053[c],pe13_hs_e,ddeccrn[e]
gd2_hs[l],M02052[c],pe15_hs_e,ddece1crn[e]
phcrm_hs[c],M01582[c],pe17_hs_e,3deccrn[e]
ga1_hs[e],M00006[c],pcholn203_hs_e,decdicrn[e]
gd3_hs[l],M03045[c],pailar_hs_e,doco13ecoa[c]
thcrm_hs[l],M03047[c],pcholn24_hs_e,doco13ac[e]
atp[g],M03153[c],pcholn261_hs_e,docosac[e]
adp[g],M02112[c],pcholn281_hs_e,docosac[r]
gm3_hs[l],M00010[c],pcholn28_hs_e,docosdiac[r]
gd1a_hs[c],M00012[c],pcholdoc_hs_e,docosdiac[c]
gm1_hs[c],M00341[c],pcholeic_hs_e,docoscoa[x]
gd1b_hs[c],M00343[c],pcholet_hs_e,docosdiac[e]
gt1b_hs[c],M00260[c],pcholhep_hs_e,3hdececrn[e]
ga1_hs[c],M00315[c],pchollinl_hs_e,3hexdcrn[e]
gm2_hs[c],M00008[c],pelinl_hs_e,3ivcrn[e]
ga2_hs[c],M00021[c],sphmyln18114_hs_c,3octdec2crn[e]
gm1b_hs[e],M00023[c],sphmyln18121_hs_c,3octdeccrn[e]
pchol_hs[n],M00265[c],sphmyln181221_hs_c,3octdece1crn[e]
sphmyln_hs[n],clpn_hs[m],sphmyln18122_hs_c,3tdcrn[e]
phsphings[c],HC02042[c],sphmyln18123_hs_c,c51crn[e]
phsph1p[c],HC02048[c],sphmyln180241_hs_c,ivcrn[e]
cholp[n],HC02054[c],sphmyln1824_hs_c,tetdec2crn[e]
M00234[e],HC02050[c],sphmyln1825_hs_c,tetdece1crn[e]
M01807[e],HC02056[c],sphmyln18115_hs_c,dece3coa[x]
M00503[e],HC02051[c],sphmyln181161_hs_c,dec47dicoa[x]
M00003[e],HC02057[c],sphmyln18116_hs_c,dectricoa[x]
M00008[e],HC02060[c],sphmyln18117_hs_c,2decdicoa[x]
M00010[e],M02686[c],sphmyln18118_hs_c,octe5coa[x]
M00017[e],M02758[c],sphmyln181181_hs_c,3decdicoa[x]
M00019[e],HC02070[c],sphmyln181201_hs_c,sebcoa[x]
M00021[e],HC02076[c],sphmyln18120_hs_c,sbcoa[x]
M00115[e],galgluside_hs[r],xolest183_hs_l,tmuncoa[x]
M00117[e],galgbside_hs[c],xolest182_hs_l,dd3coa[x]
M00260[e],M02197[c],xolest205_hs_l,3ddecdicoa[x]
M00265[e],M02491[c],tmndnc_l,2ddecdicoa[x]
M00315[e],M03131[c],xolest226_hs_l,2dodtricoa[x]
M00341[e],gm1b_hs[c],crvnc_l,3dodtricoa[x]
M01197[e],gm3_hs[c],maglinl_hs_e,c12dc[x]
M01207[e],M02012[l],magole_hs_e,tmtrdcoa[x]
M01235[e],M02013[l],magpalm_hs_e,tetd7ecoa[m]
M01238[e],gd2_hs[c],magste_hs_e,tetdecdicoa[x]
M01582[e],acglcgalgluside_hs[c],magarachi_hs_e,ttetddcoa[m]
M02053[e],galacglcgalgluside_hs[c],pcholmyr_hs_c,5tedtricoa[x]
M02457[e],M02195[c],pcholole_hs_c,c14dccoa[x]
M02613[e],acgalfucgalacglcgalgluside_hs[c],peole_hs_c,3hdeccoa[m]
M02745[e],M02683[c],pcholpalme_hs_c,thexddcoa[m]
M03045[e],acngal14acglcgalgluside_hs[c],pcholpalm_hs_c,2hexdtricoa[x]
M03051[e],acglcgal14acglcgalgluside_hs[c],pepalm_hs_c,hexdtrcoa[m]
M03153[e],galacglcgal14acglcgalgluside_hs[c],pailpalm_hs_c,4hexdtricoa[x]
C01601[e],acglcgalacglcgal14acglcgalgluside_hs[c],pcholste_hs_c,hexdectecoa[x]
M02108[e],M02186[c],pchol2linl_hs_c,3hexdtricoa[x]
M03117[e],M02490[c],pe2linl_hs_c,2hexdtetcoa[x]
M03134[e],M01881[c],pchol2ole_hs_c,4hexdtetcoa[x]
caproic[e],C01747[c],pchol2palm_hs_c,hexdpencoa[x]
xolest2_hs[l],5HPET[m],pchol2ste_hs_c,3hexdtetcoa[x]
xolest2_hs[r],CE6246[c],pcholn15_hs_c,3hexdcoa[m]
M03134[c],arachd[n],pcholar_hs_c,hexdicoa[x]
M02694[c],M01111[e],pcholn183_hs_c,hexdiac[r]
M02694[m],HC02217[r],pcholn1836_hs_c,hexdicoa[r]
M02108[c],CE6232[c],pcholn19_hs_c,whhdca[r]
M02107[c],HC01118[c],pcholn201_hs_c,octdececoa[m]
M02107[m],Ssq23epx[c],pcholn204_hs_c,3octdece1coa[m]
M02616[m],M00939[c],pcholn205_hs_c,3ocddcoa[m]
M03117[c],M00937[c],pcholn224_hs_c,2octdectecoa[x]
M03116[c],44mzym[c],pcholn225_hs_c,3octdectecoa[x]
M03116[m],M00961[c],pcholn2254_hs_c,3hodcoa[m]
M03051[c],M00957[c],pcholn226_hs_c,eitetcoa[x]
M03050[c],4mzym[i]nt1[c],pear_hs_c,eipencoa[x]
M00129[c],4mzym[i]nt2[c],pe203_hs_c,5eipencoa[m]
M00117[c],HC02110[c],pe226_hs_c,2docopencoa[x]
HC10784[c],M00963[c],pe224_hs_c,docohexcoa[x]
M02745[c],M00959[c],pedh203_hs_c,3docopencoa[x]
M01141[c],M00955[c],pe12_hs_c,2docohexecoa[m]
M01197[c],M01067[c],pe14_hs_c,docohepcoa[m]
M01191[c],zymst[c],pe161_hs_c,docosahexcoa[m]
M00003[c],chlstol[c],pe13_hs_c,omhdocosac[r]
M00004[c],M00940[c],pe15_hs_c,succoa[c]
M01238[c],M00938[c],pe17_hs_c,glutcoa[c]
M01237[c],M00942[c],pcholn203_hs_c,3ivcoa[m]
M00019[c],M00962[c],pailar_hs_c,3ivcoa[c]
M00020[c],M00958[c],pcholn24_hs_c,3ivcrn[c]
vacccoa[c],M00954[c],pcholn261_hs_c,hx2coa[x]
M00127[c],M00966[c],pcholn281_hs_c,hexe3coa[x]
M00115[c],M00967[c],pcholn28_hs_c,succoa[x]
M00116[c],M00964[c],pcholdoc_hs_c,omhdecacid[r]
M02613[c],M00960[c],pcholeic_hs_c,hexdiac[c]
M02612[c],M00956[c],pcholet_hs_c,omhdocosac[c]
M00017[c],M01068[c],pcholhep_hs_c,omhdecacid[c]
M00018[c],cholcoar[c],pchollinl_hs_c,sebacid[c]
M01235[c],cholcoas[m],pelinl_hs_c,ocdececrn[c]
M01236[c],HC01459[m],glyc2p_c,ocdececrn[m]
M01207[c],cholcoaone[m],elaidcrn_e,octdececrn[c]
M00123[c],M00978[c],lnlccrn_e,octdececrn[m]
M02457[c],M00976[c],15HPET_e,octdececoa[c]
M00101[c],M01081[c],2oxoadp_e,subeac[x]
M02053[c],M01083[c],3moxtyr_e,sebacid[x]
M02052[c],M01077[c],4aabutn_e,subeac[c]
M01582[c],M01080[c],4tmeabutn_e,c8dc[x]
M00006[c],M01077[m],5aop_e,ttdcrn[e]
M03045[c],M01080[m],7dhchsterol_e,4hpro_LT[e]
M03047[c],M01076[m],acorn_e,alaala[c]
M03153[c],M01079[m],adpac_e,alaala[e]
M02112[c],M00746[m],amet_e,bglc[e]
M00010[c],M00753[m],and19one_e,glgchlo[e]
M00012[c],M02977[m],aracheth_e,gltcho[e]
M00341[c],M00742[m],pa_hs_e,tdechola[e]
M00343[c],M02977[c],biliverd_e,gltdechol[e]
M00260[c],M00742[c],C02712_e,carn[e]
M00315[c],M00615[c],C04717_e,glygly[c]
M00008[c],M00743[c],C04805_e,glygly[e]
M00021[c],M00615[x],C05957_e,glyphe[e]
M00023[c],M00743[x],C14768_e,glyphe[c]
M00265[c],M00625[m],C14769_e,glypro[e]
clpn_hs[m],M00625[c],C14770_e,glypro[c]
HC02042[c],M00606[m],C14771_e,glysar[c]
HC02048[c],M00579[m],C14825_e,glysar[e]
HC02054[c],M01075[r],C14826_e,dchac[e]
HC02050[c],hestratriol[l],CE2510_e,gum[e]
HC02056[c],CE5253[c],CE2537_e,gumdchac[e]
HC02051[c],CE5253[l],CE6031_e,gumgchol[e]
HC02057[c],3ohxccoa[c],CE6247_c,gumtchol[e]
HC02060[c],M00783[c],CE6247_e,5HPET[r]
HC02070[c],M00049[c],cortsn_c,leugly[e]
HC02076[c],M00887[c],didecaeth_e,leugly[c]
galgluside_hs[r],M00790[c],diholineth_e,leuleu[c]
galgbside_hs[c],M00054[c],docohxeth_e,leuleu[e]
M02197[c],M00873[c],docteteth_e,pect[e]
M02491[c],M00778[c],hepdeceth_e,pectindchac[e]
M03131[c],M00044[c],hexdeceeth_e,pectingchol[e]
gm1b_hs[c],M00907[c],hexdiac_e,pectintchol[e]
gm3_hs[c],M00802[c],hgentis_e,progly[e]
M02012[l],M00067[c],hxcoa_e,progly[c]
M02013[l],M00879[c],leuktrB4wcooh_e,psyl[e]
gd2_hs[c],M00715[c],leuktrB4woh_e,psylchol[e]
acglcgalgluside_hs[c],M03016[c],lineth_e,psyltchol[e]
M02683[c],M00843[c],Lpipecol_e,psyltdechol[e]
acngal14acglcgalgluside_hs[c],M00702[c],lthstrl_e,sbt__D[e]
acglcgal14acglcgalgluside_hs[c],M03014[c],mev__R_e,thm[e]
galacglcgal14acglcgalgluside_hs[c],M00852[c],Nacasp_e,avite1[c]
C01747[c],M00707[c],nwharg_e,1a25dhvitd3[c]
5HPET[m],M03018[c],oleth_e,1a25dhvitd3[n]
CE6246[c],M00839[c],pendecaeth_e,4abut[n]
M01111[e],M00699[c],pmeth_e,oh1[c]
HC02217[r],M03011[c],saccrp__L_e,oh1[e]
HC02180[r],M00871[c],sebacid_e,cysam[e]
CE6232[c],M00704[c],sphmyln180241_hs_e,hyptaur[e]
cholcoar[c],M03017[c],sphmyln18114_hs_e,q10[e]
cholcoas[m],CE4791[c],sphmyln18115_hs_e,dpcoa[e]
HC01459[m],M00860[c],sphmyln18116_hs_e,pan4p[e]
cholcoaone[m],M00085[c],sphmyln181161_hs_e,5dpmev[c]
M00978[c],M03008[c],sphmyln18117_hs_e,slfcys[e]
M00976[c],M00869[c],sphmyln18118_hs_e,fmn[e]
M01081[c],M00086[c],sphmyln181181_hs_e,ptth[e]
M01083[c],M03005[c],sphmyln18120_hs_e,q10h2[e]
M01077[c],M00862[c],sphmyln181201_hs_e,fe3[c]
M01080[c],M00712[c],sphmyln18121_hs_e,6pgl[c]
M01077[m],M03006[c],sphmyln18122_hs_e,dmpp[c]
M01080[m],M01729[c],sphmyln181221_hs_e,5pmev[c]
M01076[m],M01729[m],sphmyln18123_hs_e,1pyr5c[c]
M01079[m],M02973[c],sphmyln1824_hs_e,pheme[e]
M00746[m],M02973[m],sphmyln1825_hs_e,34hpp[e]
M00753[m],M00129[m],steeth_e,3mob[e]
M02977[m],M02976[c],subeac_e,3mop[e]
M00742[m],M02976[m],tetdecaeth_e,4mop[e]
M02977[c],M01141[m],tmlys_e,5mta[e]
M00742[c],M01191[m],trideceth_e,5oxpro[e]
