mets,genes,rxns
acglcgalgbside_hs[g],20535,C162OHc
galacglcgalgbside_hs[g],240215,C16DCc
h2o[g],20533,C16OHc
gm2a_hs[g],20536,C180CPT1
gm1a_hs[g],103988,C180CPT2
gluside_hs[g],15277,C180CRNt
cholcoa[x],15275,C181CPT1
gchola[x],216019,C181CPT2
taur[x],212032,C181CRNt
tchola[x],15233,C181OHc
dgcholcoa[x],58875,C182OHc
dgchol[x],15186,C18OHc
dcholcoa[x],11944,C204CPT1
btn[c],11945,C204CPT2
btamp[c],70789,C204CRNt
btn[m],208715,C226CPT1
btamp[m],15360,C226CPT2
ala_B[c],15356,C30CPT1
ala_B[e],208982,C3STDH1
4tmeabutn[c],15368,C3STDH1Pr
succ[c],15369,C3STDH1r
caro[c],56794,C3STKR2r
retinal[c],52815,C40CPT1
bhb[m],27029,C4CRNCPT2
betald[m],15483,C4DCCACT
glyb[m],15484,C4OHc
bhb[e],15485,C4STMO1r
bhb[c],14979,C4STMO2Pr
glyb[c],15486,C4STMO2r
hcys__L[c],15490,C4tcx
dmgly[c],15497,C4tmc
met__L[c],15492,C4x
bildglcur[e],15496,C50CPT1
bildglcur[c],15494,C51CPT1
bildglcur[r],15493,C60CPT1
bilglcur[e],15495,C6COAt
bilglcur[c],100043456,C6CRNtcx
bilglcur[r],101502,C6DCc
biliverd[c],57028,C6DCCACT
bilirub[c],15929,C80CPT1
bilirub[e],170718,C81CPT1
bilirub[r],67834,C8DCc
biocyt[n],15926,C9BRxtc
dolmanp_U[r],269951,CA24GSc
memgacpail_hs[r],22018,CA24GSr
dolp_U[r],15932,CA24Gte
h[r],12036,CA3Sabc
m2emgacpail_hs[r],72401,CA3St
h2o[n],56727,CAATPS_1
btn[n],239606,CAMPt
lys__L[n],53881,CARIBUP_SGLUhep
biocyt[e],319554,CARN140t_m
btn[e],320581,CARN160t_m
3uib[c],216225,CARN180t_m
3aib__D[c],56451,CARN1819Zt_m
but[c],20917,CARN1829Z12Zt_m
but[m],20916,CARN1836Z9Z12Zt_m
bvite[e],20498,CARPEPT1tc
bvite[c],20499,CASULT
bz[e],107723,CAT2p
bz[c],57138,CAt7r
bz[r],16548,CATm
44mctr[r],236727,CATp
nadph[r],77031,CBL2tm
44mzym[r],98256,CBPPer
nadp[r],226413,CBPS
pmtcrn[c],11432,CBPSam
pmtcrn[m],16816,CBR2
hdcoa[c],171405,CDCA24GSc
hdcecrn[c],207151,CDCA24GSr
