mCADRE_brain_genes,rFASTACOROMICS_brain_genes,CORDA_brain_genes,ftINIT_brain_genes
26970,23908,66461,226413
26971,239122,74451,226518
269941,23917,19225,226999
269951,23918,19224,227095
270076,23923,234724,227120
270198,239273,18478,227231
27029,23945,16922,227327
27053,239559,19211,227333
270685,23956,20975,227399
271424,23959,18720,227620
271639,239606,18717,227659
271786,23971,18719,227671
27222,23972,84095,227721
27226,239827,224020,227733
272411,23984,107650,22782
272428,23986,74769,228033
27357,240215,18708,228368
27369,240332,18707,228550
27376,24059,18710,228677
27388,24060,18709,228812
27392,240752,18706,229211
27399,241062,23900,229363
27400,241159,30955,229665
27402,241391,320207,229709
27413,241447,320634,229782
27416,241452,18795,229791
27419,241489,234779,229949
276846,241612,269615,230027
277973,242202,72469,230099
28042,242285,114875,230103
280645,242585,18802,230145
28169,242607,18796,230163
28200,243078,18803,230379
28253,243328,74055,230612
29858,243616,18799,230718
29863,243755,18798,230801
30805,245650,18797,231050
30955,245847,227120,231051
30956,246049,433022,231086
30962,246221,269437,231327
30963,246277,18711,231396
319415,246696,108083,231583
319518,246787,117150,231605
319554,257635,18718,231691
319800,26357,53357,231727
319945,26363,18780,231871
320011,26378,66350,232087
320127,26384,18784,232156
320207,26457,26971,232333
320404,26458,211429,232449
320452,26459,329502,232493
320581,26462,18778,232680
320634,26464,18782,232714
320707,26565,26565,232811
320940,26568,26970,232975
320951,26569,68603,232984
320997,26570,271424,233011
327655,266744,27399,233016
327942,268510,76500,233549
328779,268512,74776,233781
328845,268656,50784,233799
329502,26876,19012,233801
329506,26877,67916,233836
329777,26878,19044,233904
329910,268782,13861,234129
330064,26879,11758,234135
330406,268860,17523,234309
330671,26887,19125,234356
330836,269060,24059,234515
330962,26912,320951,234724
331026,269180,19210,234730
333424,26922,27388,234779
338362,269378,171210,234889
338366,26938,170789,234967
338403,269437,171282,235033
353169,269614,19286,235044
353371,269615,20229,235293
380660,26970,69215,235339
380921,26971,216134,235386
381022,269823,22271,235504
381290,269941,76654,235534
381694,269951,14863,235582
381925,270076,71336,235626
382985,270198,19682,235674
394430,27029,54150,236149
394432,27053,216453,236293
394433,270685,103142,236539
394434,271424,19683,236727
394435,271639,216454,236899
394436,271786,107605,237523
432530,27226,98711,237625
433022,272411,108841,237636
433182,27357,77974,237823
433256,27369,17252,237831
433323,27376,242285,237928
433931,27388,105014,237940
434437,27392,235033,238011
434674,27399,225994,238023
435766,27400,20443,238024
435802,27402,20442,23827
435818,27411,20444,23831
436008,27413,338362,238384
50493,27416,23908,238505
50770,27419,15931,23887
50773,276846,15476,238871
50784,277973,628779,23900
50785,28042,319415,23908
50786,280645,195646,239122
50787,28169,15478,23917
50790,28200,54710,23918
50798,28253,328779,23923
50799,29858,72136,239273
50877,29859,58250,23945
50917,29863,71797,239559
50935,30805,59031,23956
51797,30955,11881,23959
51798,30956,56773,23971
52064,30962,54371,23972
52123,30963,26887,239827
52466,319415,76969,23984
52538,319518,53374,23985
52815,319554,60322,23986
52858,319800,50787,240215
53332,319945,50785,24059
53357,320011,50786,24060
53374,320127,75612,240752
53415,320207,30956,241062
53418,320208,69156,241159
53625,320404,140483,241391
53896,320452,192166,241447
53897,320581,81535,241452
53945,320634,20322,241489
54122,320635,20280,241612
54128,320685,20540,242202
54150,320707,268656,242285
54195,320718,20773,242585
54218,320940,228677,242607
54325,320951,13885,242669
54326,320981,20397,243078
54338,320997,20454,243085
54369,327655,56632,243328
54371,327942,20698,243537
54384,327951,76668,243616
54391,328035,58994,243755
54397,328779,238011,245650
54403,328845,77626,245847
54447,329093,20597,246049
54486,329502,20598,246221
545975,329506,208449,246277
54611,329777,208890,246696
54613,329910,320718,246787
54616,330064,224661,257635
54667,330406,268512,26357
54670,330671,243755,26363
54710,330836,20652,26378
55936,331026,20657,26384
55963,333182,20656,26457
55979,333424,20655,26458
55980,337924,20751,26459
55981,338362,20603,26462
56012,338366,20810,26464
56017,338403,20775,26565
56050,353169,14137,26568
56077,353371,78925,26569
56078,380660,94224,26570
56174,380921,20441,266645
56176,380959,54613,266744
56185,381022,20446,268510
56219,381290,20447,268512
56248,381694,50935,268656
56318,381925,26938,26874
56336,382985,20449,268756
56348,394430,225742,26876
56351,394434,20905,26877
56356,394436,66945,26878
56357,432530,66925,268782
56375,433022,66052,26879
56386,433182,67680,268860
56421,433256,211389,26887
56451,433323,21366,269060
56454,433931,13180,26912
56473,434121,18115,269180
56485,434264,105663,26922
56520,434437,20502,269346
56529,434674,72962,269378
56632,435766,192289,26938
56643,435802,50493,269437
56703,435818,21990,269614
56749,436008,216343,269615
56752,50493,56720,26970
56773,50770,209176,26971
56774,50773,55961,269823
56794,50784,21391,269941
56847,50785,21823,269951
57138,50786,50798,270076
57274,50787,66248,270198
57279,50790,22232,27029
57357,50798,22235,27053
57370,50799,242585,270685
57394,50877,67883,271424
57738,50917,18606,271639
57813,50934,58246,271786
57874,50935,16770,27222
58193,51797,22234,27226
58250,51798,70484,272411
58807,52064,394434,272428
58810,52123,394430,27357
58875,52430,394433,27369
58994,52466,22236,27376
59012,52538,394436,27392
59031,52633,243085,27399
59045,52815,231396,27400
60322,52858,22238,27402
60525,53332,112417,27404
60527,53357,100559,27409
60596,53374,71773,27410
621603,53415,100727,27411
625249,53418,68556,27413
628779,53625,22436,27416
631304,53881,102448,27419
63828,53893,233781,27425
63959,53896,217119,276846
64008,53897,67880,277973
64292,53973,76429,28042
64436,54122,67895,280645
64580,54128,12870,28080
64602,54150,14325,28169
